"cellcode","clc_artificial","clc_agriculture","clc_forest","clc_shrub","clc_open","clc_marshes","clc_peat bogs","clc_coastal wetland","clc_rivers","clc_lakes","clc_marine waters","bio1_annual_temp_dC","bio10_temp_warmQ_dC","bio12_annual_prec_mm","bio15_coefvar_prec","bio4_sd_temp"
"50kmE635N160",3.92759999158443,30.1232005585916,28.5120009633829,22.4987997382414,0.934800016693771,0,0,0,0,0.27560000307858,13.7280002236366,17.8900585174561,25.3082008361816,708.908630371094,91.5327835083008,574.677612304688
"50kmE640N160",6.01359984575538,25.6315995524346,21.4075996831525,23.5355997981969,1.79239999124547,0.0508000026457012,0,0.27560000307858,0,0.359599990770221,20.9332004189491,18.490421295166,26.4204006195068,514.755554199219,89.9491424560547,614.973815917969
"50kmE645N160",1.30279998993501,6.81959994835779,0.270400010049343,2.22960005048662,0.426799990236759,0,0,0.313200009986758,0,0,57.3332011699677,20.1874008178711,26.3891429901123,424.985412597656,106.092781066895,473.758148193359
"50kmE650N160",0,0,0,0,0,0,0,0,0,0,5.38079999387264,20.2866439819336,26.116584777832,482.732727050781,111.54988861084,445.168975830078
"50kmE635N165",0.419200008036569,5.37160000822042,0.120000005699694,4.52399991918355,0.733599986415356,0,0,0,0.00920000020414591,0,71.6607987880707,20.0472297668457,26.7601833343506,593.738830566406,96.9406509399414,511.809814453125
"50kmE640N165",12.6076002095942,41.9179984368384,2.88039999431931,15.5647998675704,1.43519998382544,0.0108000000182074,0,0,0.00280000003840541,0.123599998187274,25.4568010568619,19.7910842895508,28.1091899871826,452.453826904297,84.3056869506836,642.390380859375
"50kmE645N165",7.89640013172175,47.6704001543112,0.892400019802153,9.15119981218596,1.2248000362888,0.138000003062189,0,0,0,0.150799995753914,32.8759998083115,20.3636569976807,27.707799911499,370.756500244141,93.2226715087891,565.942443847656
"50kmE650N165",0.104799994733185,0.117200000386219,0.014000000373926,0.240000011399388,0.0472000014269724,0,0,0,0,0,49.100399017334,20.2373466491699,26.277250289917,434.21142578125,108.511085510254,459.725708007812
"50kmE655N165",0,0,0,0,0,0,0,0,0,0,0,20.3467502593994,26.2110595703125,614.795227050781,107.74560546875,450.852172851562
"50kmE660N165",0,0,0,0,0,0,0,0,0,0,0,20.3778324127197,26.2279586791992,1094.62060546875,100.68578338623,450.170166015625
