"cellcode","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8","frac_9","frac_10","frac_11","frac_12","frac_13","frac_14","frac_15","frac_16","frac_17","frac_18","frac_19","frac_20","frac_21","frac_22","frac_23","frac_24","frac_25","frac_26","frac_27","frac_28","frac_29","frac_30","frac_31","frac_32","frac_33","frac_34","frac_35","frac_36","frac_37","frac_38","frac_39","frac_40","frac_41","frac_42","frac_43","frac_44","frac_48","frac_128"
"50kmE345N200",0.00067999999737367,0.00219999998807907,0.00106000003870577,0.000195999993593432,0,0,0.00129599997308105,0,0,0,0,0.0599600002169609,0.0157559998333454,0,0.00143599999137223,0.0283240005373955,0.0481919981539249,0.00108800001908094,0.00806799996644258,0.10691200196743,0.0538560003042221,0,0.0598959997296333,0.226531997323036,0.148711994290352,0.0818599984049797,0,0.104379996657372,0.0413959994912148,0.00283999997191131,0.000684000027831644,0.00289999996311963,0,0,0,0,0,0,0,0,0.00177600001916289,0,0,0,0,0
"50kmE350N200",0.00461200019344687,0.00812800042331219,0.00393600016832352,0.000352000002749264,0,0,0.00150799995753914,0.00011600000289036,0.000600000028498471,0,0.000180000002728775,0.00602799979969859,0.00784800015389919,0.0782160013914108,0.032735999673605,0.102067999541759,0.186764001846313,0.00228799995966256,0,0.0392640009522438,0.0211479999125004,0,0.011392000131309,0.15243199467659,0.00473999977111816,0.00366399995982647,0,0.202831998467445,0.0287999995052814,0.00314799998886883,0.00308799999766052,0.00145600002724677,0.000931999995373189,0,0.000636000011581928,0,0.00162400002591312,0,0,0.00737999984994531,0.000216000000364147,0.00332799996249378,0,0.0785399973392487,0,0
"50kmE355N200",0.00467999977990985,0.0172920003533363,0.0084840003401041,0.00245200004428625,0.000807999982498586,0.000528000004123896,0.000780000002123415,0.000268000003416091,0.000660000019706786,0.000276000006124377,0.00473600020632148,0.0033239999320358,0.00850799959152937,0,0.000487999990582466,0.0236280001699924,0.0241919998079538,0.00638800021260977,0,0.0174800008535385,0.0047320001758635,0,0.00421199994161725,0.0207359995692968,0.000243999995291233,0.000296000012895092,0,0.0328919999301434,0.00213599996641278,0.000448000006144866,0,0.000948000000789762,0,0,0,0,0,0,0,0,0.000144000005093403,0,0,0.647459983825684,0,0.160779997706413
"50kmE360N200",0.000699999975040555,0.00572399981319904,0.000112000001536217,0,1.59999999596039e-05,0,0,0,0,0,0.000372000009519979,0,3.9999998989515e-05,0,0.000276000006124377,0.00186399999074638,0,0.000356000004103407,0,0.000763999996706843,0.00049200002104044,0,0,0.000436000002082437,0,0,0,0.000327999994624406,0,0.000676000025123358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499615997076035,0,0.488227993249893
"50kmE420N200",0,0.00100000004749745,0,0,0,0.000352000002749264,0,0,0,0,0.000547999981790781,0.00691200001165271,0,0,0.00115200004074723,0,0,0.00427599996328354,0,0.00874400045722723,0.00553200021386147,0.000180000002728775,0.00357199995778501,0.00107200001366436,0,0,0,0.0651839971542358,0.00316000008024275,0.000284000008832663,0.001587999984622,0.00775599991902709,0.00176000001374632,0,0,0,0,0,0,0,0.000236000007134862,0,0,0.785044014453888,0,0.10164800286293
"50kmE425N200",0.00115200004074723,0.0116959996521473,0.000595999998040497,0,0,0,0.000987999956123531,0,0,0,0.00194800004828721,0.0211599990725517,0,0,0,0,0,0.0011399999493733,0,0.00358400004915893,0.0309960003942251,0.00203999993391335,0.00209599989466369,0.00182799994945526,0,0.000771999999415129,0,0.122252002358437,0.00353199988603592,0.000144000005093403,0.00276799988932908,0.0153599996119738,0.000216000000364147,0,0,0,0.000452000007499009,0,0,0,3.99999998990097e-06,0.000260000000707805,0,0.719944000244141,0,0.0550719983875751
"50kmE345N205",0.0007999999797903,0.00198800000362098,0.0011399999493733,0.000112000001536217,0,0,0.000755999993998557,0,0,0,0.00118400005158037,0.313400000333786,0.0850720033049583,0.000335999997332692,0.00493199983611703,0.0454719997942448,0.0176160000264645,0.00116400001570582,0.00831599999219179,0.0488680005073547,0.123028002679348,0,0.00181199994403869,0.126335993409157,0.00159200001507998,0.0104679996147752,0,0.111660003662109,0.0601680018007755,0.00146000005770475,0,0.00028000000747852,0,0,0.00211200001649559,0,0,0,0,0.00196400005370378,0.027963999658823,0,0,0,0,0
"50kmE350N205",0.00290800002403557,0.00146800000220537,0.00279600010253489,0,0,0,0.000411999993957579,0,0.000872000004164875,0,0,0.0863199979066849,0.0127280000597239,0.000384000013582408,0.0408600009977818,0.154495999217033,0.173784002661705,0.00277199991978705,0.00267599988728762,0.0509120002388954,0.0514799989759922,0,0.00618800008669496,0.167531996965408,0.00212799990549684,0.00270799989812076,0,0.184228003025055,0.0369639992713928,0.00191600003745407,0.000123999998322688,0.000407999992603436,0,0,0.000815999985206872,0,0,0,0,0.0028800000436604,0.00923999957740307,0,0,0,0,0
"50kmE355N205",0.00383999990299344,0.00941599998623133,0.00847600027918816,0.000364000006811693,0,0,0.00124799995683134,0.000264000002061948,0.000352000002749264,0,0.000180000002728775,0.161208003759384,0.0341559983789921,0,0.0722040012478828,0.11625599861145,0.0789600014686584,0.00149199995212257,0,0.0747760012745857,0.0557879991829395,0,0.0703919976949692,0.175607994198799,0.00281199999153614,0.00104799994733185,0,0.107107996940613,0.0199159998446703,0,0.000568000017665327,0.00123599998187274,0.00174400000832975,0,0,0,0,0,0,0,0.000587999995332211,0,0,0,0,0
"50kmE360N205",0.00907600019127131,0.0626519992947578,0.0182719994336367,0.00281600002199411,0.000372000009519979,9.99999974737875e-05,0.00510400021448731,0.000511999998707324,0.000636000011581928,0.000736000016331673,0.00354800000786781,0.0847240015864372,0.00265999999828637,0,0.161651998758316,0.00786800030618906,0.0056839999742806,0.00322400010190904,0,0.0205359999090433,0.0351039990782738,0,0.0317520014941692,0.306836009025574,0.00762799987569451,0.000356000004103407,0,0.168696001172066,0.025348000228405,0.000364000006811693,0.000352000002749264,0.00155199994333088,0.00568800000473857,0,0,0,0,0,0,0.000448000006144866,0.000300000014249235,0,0,0.0254040006548166,0,0
"50kmE365N205",0.0444360002875328,0.0874359980225563,0.0548520013689995,0.00747200008481741,0.00315200001932681,0.00412400020286441,0.00200399989262223,9.99999974737875e-05,0.00125199998728931,0.00927199982106686,0.00543199991807342,0.0527839995920658,0.0163039993494749,0,0.00114800001028925,0.00375199993140996,0.000255999999353662,0.0101680001243949,0,0.0178559999912977,0.0154320001602173,0,0.0857639983296394,0.14903199672699,0.00223600002937019,0.000199999994947575,0,0.0198240000754595,0.00620000017806888,0.000763999996706843,0,0.00124799995683134,0,0,0.000112000001536217,0,0.001587999984622,0,0,0.000980000011622906,0,0,0,0.380771994590759,0,0.0140479998663068
"50kmE370N205",0.00412400020286441,0.0123880002647638,0.00283599994145334,0,0,0,0.000127999999676831,0,0,0.000247999996645376,0.001475999946706,0.000403999991249293,0.00808000005781651,0,0,0.000211999999010004,0,0.000896000012289733,0,0.00364000000990927,0.00370000000111759,0,0.0582999996840954,0.0288360007107258,0.00101999996695668,0,0,0.00137199996970594,0.00266800005920231,0.00122800003737211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547587990760803,0,0.320856004953384
"50kmE420N205",0.000188000005437061,0.0190839990973473,0.00254000001586974,0,0.00015999999595806,0.00106000003870577,0.00049200002104044,0.000148000006447546,0,0,0.000452000007499009,0.00192399998195469,0,0,0.00395999988541007,0.000344000000040978,0,0.0190600007772446,0,0.0318639986217022,0.0351999998092651,0,0.294351994991302,0.0121600003913045,0.00544400000944734,0.0156399998813868,0.0040799998678267,0.131972000002861,0.0252599995583296,0.000967999978456646,0.0132200000807643,0.0307480003684759,0.000364000006811693,0,0.000323999993270263,0,0,0,0,0,0.000831999990623444,0,0,0.348159998655319,0,0
"50kmE425N205",0,0.014011999592185,0.000912000017706305,0,0.000148000006447546,0.00115599995478988,0.000167999998666346,0,0,0,0.00111199996899813,0.00239600008353591,0,0,0.00153999996837229,0.000975999981164932,0,0.00518799992278218,0,0.0121959997341037,0.0107079995796084,0,0.0902760028839111,0.0494400002062321,0.0390640012919903,0.0175880007445812,0.00112000002991408,0.084976002573967,0.0079720001667738,0.00114399997983128,0.0136200003325939,0.0430239997804165,0.000807999982498586,0,0.00039999998989515,0,0.00159600004553795,0.000108000000182074,0,0,0.000163999997312203,0.000644000014290214,0,0.536472022533417,0,0.0610719993710518
